Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
26-09-2005,2195.75,2247.5,2195.75,2245.399902,2245.396973,0,26-09-2005,2005,9,26
27-09-2005,2246.25,2274.800049,2241.300049,2259.350098,2259.347168,0,27-09-2005,2005,9,27
28-09-2005,2261.300049,2282.399902,2250.649902,2280.350098,2280.347168,0,28-09-2005,2005,9,28
29-09-2005,2289.550049,2302.300049,2275.550049,2281.75,2281.74707,0,29-09-2005,2005,9,29
30-09-2005,2284.100098,2284.899902,2242.850098,2274,2273.99707,0,30-09-2005,2005,9,30
03-10-2005,2282.5,2302.149902,2282.5,2299.449951,2299.447021,0,03-10-2005,2005,10,3
04-10-2005,2300.050049,2330,2300.050049,2327.75,2327.746826,0,04-10-2005,2005,10,4
05-10-2005,2331.350098,2333.100098,2307.899902,2313.25,2313.24707,0,05-10-2005,2005,10,5
06-10-2005,2284.899902,2299.800049,2264.5,2270.050049,2270.047119,0,06-10-2005,2005,10,6
07-10-2005,2268.350098,2293.050049,2244.300049,2264.100098,2264.097168,0,07-10-2005,2005,10,7
10-10-2005,2272.899902,2279.25,2249.350098,2253.600098,2253.597168,0,10-10-2005,2005,10,10
11-10-2005,2266.850098,2267.350098,2224.699951,2264,2263.99707,0,11-10-2005,2005,10,11
13-10-2005,2254.399902,2267.449951,2220.149902,2226.25,2226.24707,0,13-10-2005,2005,10,13
14-10-2005,2229.149902,2229.5,2176.449951,2181.050049,2181.047119,0,14-10-2005,2005,10,14
17-10-2005,2189.600098,2189.850098,2154.899902,2172.600098,2172.597168,0,17-10-2005,2005,10,17
18-10-2005,2178.399902,2201.899902,2144.600098,2157.899902,2157.896973,0,18-10-2005,2005,10,18
19-10-2005,2141.449951,2141.449951,2094.5,2105.649902,2105.647217,0,19-10-2005,2005,10,19
20-10-2005,2112.75,2145.899902,2059.850098,2085.149902,2085.147217,0,20-10-2005,2005,10,20
21-10-2005,2092.949951,2122.449951,2070.850098,2119.449951,2119.447266,0,21-10-2005,2005,10,21
24-10-2005,2131.850098,2131.850098,2087.350098,2092.050049,2092.047363,0,24-10-2005,2005,10,24
25-10-2005,2105.5,2125.550049,2088.699951,2108.5,2108.497314,0,25-10-2005,2005,10,25
